110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896210,154835004787893,-31.896382367312587,6.821152402854001,159.54518670903394,705.741,1311.1946,0.26666668,0.3019608
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896228,154835022031903,-30.500998625541076,5.634266588799477,158.2303206522931,712.1444,1394.6887,0.26666668,0.29803923
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896244,154835038421342,-30.500998625541076,5.634266588799477,158.2303206522931,726.35004,1466.1742,0.23333335,0.29803923
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896263,154835057649177,-30.21943090719647,5.914946382551981,158.43234398756374,740.52893,1516.0842,0.26666668,0.29803923
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896277,154835071352825,-30.83814017806749,5.710593099000723,158.36018986917173,752.75024,1559.1033,0.26666668,0.29803923
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896294,154835088139030,-30.83814017806749,5.710593099000723,158.36018986917173,764.39996,1588.9354,0.26666668,0.29803923
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896311,154835105077837,-31.96759391959914,5.265840208553466,158.1596008736268,775.5148,1610.0997,0.26666668,0.29411766
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896327,154835121803001,-31.661150652297348,5.241819287016177,158.08513815129533,788.96686,1633.6265,0.23333335,0.29411766
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896344,154835138802848,-32.057885605332125,4.899092347295984,157.84832183239263,797.97784,1652.6511,0.23333335,0.2901961
110522142,Sitting,UpDown,1,14,58,-1,4,move,1643169896360,154835154398758,-32.057885605332125,4.899092347295984,157.84832183239263,799.5065,1656.0916,0.23333335,0.16078432
110522142,Sitting,UpDown,1,14,58,-1,4,up,1643169896364,154835158427447,-32.057885605332125,4.899092347295984,157.84832183239263,799.5065,1656.0916,0.23333335,0.16078432
110522142,Sitting,UpDown,1,14,58,-1,5,down,1643169896563,154835357359233,-32.19255644519726,5.121316393923758,159.02103799212716,730.8822,1003.6515,0.26666668,0.30588236
110522142,Sitting,UpDown,1,14,58,-1,5,move,1643169896617,154835411349773,-33.800809862641394,4.236395377509613,158.4915753880461,711.69904,1090.667,0.26666668,0.30980393
110522142,Sitting,UpDown,1,14,58,-1,5,move,1643169896635,154835429784078,-31.835146306308836,4.316027272382322,158.24571589868233,695.17,1181.7567,0.26666668,0.30588236
